userID,userName,mediaID,mediaDate,mediaLocationLat,mediaLocationLong,mediaCommentFrom_id,mediaCommentFrom_userName,mediaComment_time,mediaComment_text
2504191,aaron,1199680117945762231_2504191,2016-03-05,41.8369,-87.6844,4198274,dianamhorn,2016-03-05,Beautiful!
2504191,aaron,1199680117945762231_2504191,2016-03-05,41.8369,-87.6844,256676333,swimzip,2016-03-05,Sweet kisses! 💗
2504191,aaron,1199680117945762231_2504191,2016-03-05,41.8369,-87.6844,194810504,pinkstonms,2016-03-06,me tooo
2504191,aaron,1198236460671664216_2504191,2016-03-03,33.7489,-84.3881,194810504,pinkstonms,2016-03-04,Artist!
2504191,aaron,1198236460671664216_2504191,2016-03-03,33.7489,-84.3881,214822693,courtneymorabito,2016-03-04,This is amazing! I need this wall in my life.
2504191,aaron,1198236460671664216_2504191,2016-03-03,33.7489,-84.3881,214837077,debbyglavin,2016-03-04,Wow!
2504191,aaron,1198236460671664216_2504191,2016-03-03,33.7489,-84.3881,1608077689,zohreh_mhd22.11,2016-03-06,Great pictures fantastic gallery✌👏👏👏😍
2504191,aaron,1196800632460247550_2504191,2016-03-01,36.117,-115.174904,193017303,krissyalebakis,2016-03-02,@fayalebakis
2504191,aaron,1196800632460247550_2504191,2016-03-01,36.117,-115.174904,218698695,amberscion,2016-03-02,😍😍😍
2504191,aaron,1196800632460247550_2504191,2016-03-01,36.117,-115.174904,857659839,aaron.laplaca,2016-03-02,Can I have your name on ig
2504191,aaron,1196800632460247550_2504191,2016-03-01,36.117,-115.174904,2617518,heloge,2016-03-08,💕💕
2504191,aaron,1193839816693875521_2504191,2016-02-26,34.0522,-118.243,4479332,amychild,2016-02-26,So adorable!
2504191,aaron,1193839816693875521_2504191,2016-02-26,34.0522,-118.243,7401423,angiecurlyfries,2016-02-26,It's really nice to watch her grow through your pictures :)
2504191,aaron,1193839816693875521_2504191,2016-02-26,34.0522,-118.243,2073927,brandonmcarter,2016-02-26,Wow. So gorgeous.
2504191,aaron,1193839816693875521_2504191,2016-02-26,34.0522,-118.243,24318443,lilflea_05,2016-03-05,"@angiecurlyfries @aaron I was thinking the same thing..she's growing fast, what a cutie 😊"
2504191,aaron,1191663254020129245_2504191,2016-02-23,34.063316,-118.35906,2809105,jenpinkston,2016-02-23,❤️❤️❤️❤️❤️❤️
2504191,aaron,1191663254020129245_2504191,2016-02-23,34.063316,-118.35906,178478504,xoxocesca,2016-02-23,So sweet!
2504191,aaron,1191663254020129245_2504191,2016-02-23,34.063316,-118.35906,290788690,catherinespaulding,2016-02-23,It's you @hannahspaulding
2504191,aaron,1191663254020129245_2504191,2016-02-23,34.063316,-118.35906,1527797392,itss.aaron,2016-02-25,$15 dollars for username (PayPal)
2504191,aaron,1190945447527678313_2504191,2016-02-22,43.03936,-87.89743,9689246,chaoschytist,2016-02-22,fresh
2504191,aaron,1190945447527678313_2504191,2016-02-22,43.03936,-87.89743,2504191,aaron,2016-02-22,Thanks @katyweaverphotography!  As is your work!  Love it
2504191,aaron,1190945447527678313_2504191,2016-02-22,43.03936,-87.89743,2504191,aaron,2016-02-22,Thanks @claireleahy 😃😃😃
2504191,aaron,1190945447527678313_2504191,2016-02-22,43.03936,-87.89743,1104836064,nmamii,2016-03-01,@bigxecho
2504191,aaron,1190275837883155324_2504191,2016-02-21,34.063316,-118.35906,2539082433,smithgirlstoellen,2016-02-21,#smithgirlstoellen 😊
2504191,aaron,1190275837883155324_2504191,2016-02-21,34.063316,-118.35906,2504191,aaron,2016-02-21,Thanks @ericericc
2504191,aaron,1190275837883155324_2504191,2016-02-21,34.063316,-118.35906,2504191,aaron,2016-02-21,Thanks @brazilinspires!  Would love to Man.  Let's set something up
2504191,aaron,1190275837883155324_2504191,2016-02-21,34.063316,-118.35906,2504191,aaron,2016-02-21,Thanks @jankyishaiah 😃
2504191,aaron,1188767578672169366_2504191,2016-02-19,43.03936,-87.89743,2504191,aaron,2016-02-20,I know right @matrickphoto
2504191,aaron,1188767578672169366_2504191,2016-02-19,43.03936,-87.89743,9471702,claireleahy,2016-02-21,Well. You're great.
2504191,aaron,1188767578672169366_2504191,2016-02-19,43.03936,-87.89743,2504191,aaron,2016-02-21,As are you @claireleahy.  Love your work!
2504191,aaron,1188767578672169366_2504191,2016-02-19,43.03936,-87.89743,2539082433,smithgirlstoellen,2016-02-21,please check out the link in my bio😊😊😊
2504191,aaron,1182970481611998195_2504191,2016-02-11,43.7166,-79.3407,2539082433,smithgirlstoellen,2016-02-21,#smithgirlstoellen 💝
2504191,aaron,1182970481611998195_2504191,2016-02-11,43.7166,-79.3407,1563832360,xannie.beauty,2016-03-07,@15aaron_kn
2504191,aaron,1182970481611998195_2504191,2016-02-11,43.7166,-79.3407,2227868312,15aaron_kn,2016-03-08,@xannie.beauty what or was
2504191,aaron,1182970481611998195_2504191,2016-02-11,43.7166,-79.3407,1563832360,xannie.beauty,2016-03-08,Soz didn't mean to tag u 😂😊 @15aaron_kn
2504191,aaron,1177156444261286528_2504191,2016-02-03,34.210632,-118.3794,538260,mrtidwell,2016-02-15,I'll give you $2 for your username.
2504191,aaron,1177156444261286528_2504191,2016-02-03,34.210632,-118.3794,7893962,dawa_lhamo,2016-02-18,❤️
2504191,aaron,1177156444261286528_2504191,2016-02-03,34.210632,-118.3794,2470535935,revlo1,2016-02-19,Great gallery you have. I'm glad to have stumbled upon it.
